"","Song","Artist"
"1","Meet me halfway","The Black Eyed Peas"
"2","Tik tok","Ke$ha"
"3","Cosas que suenan a...","Maldita Nerea"
"4","Sexy bitch","David Guetta;Akon"
"5","El run run","Rosario;Estopa"
"6","We are the world 25 for Haiti",NA
"7","Stereo love","Edward Maya;Molella"
"8","Fight for this love","Cheryl"
"9","Bad romance","Lady GaGa"
"10","Desde cuando","Alejandro Sanz"
"11","Sick of love","Robert Ramírez"
"12","Fireflies","Owl City"
"13","Gitana (Pop version)","Shakira"
"14","Quiero aprender de ti","El Canto del Loco"
"15","Release me","Agnes"
"16","Ay Haití!","Carlos Jean;Varios"
"17","Estuve a punto de...","Miguel Bosé"
"18","If we ever meet again","Timbaland;Katy Perry"
"19","We weren't born to follow","Bon Jovi"
"20","Todo me da igual","Pignoise"
"21","Telephone","Lady GaGa;Beyoncé"
"22","Diez minutos","Efecto Mariposa"
"23","Como una vela","Melendi"
"24","Whatcha say","Jason Derülo"
"25","Russian roulette","Rihanna"
"26","Bipolar","POL 3.14"
"27","Que nadie","Manuel Carrasco;Malú"
"28","I got you","Leona Lewis"
"29","Antes de que cuente diez","Fito & Fitipaldis"
"30","Sin mirar atras","David Bisbal"
"31","Babacar","Kate Ryan"
"32","Bien o mal","Julieta Venegas"
"33","Ayo technology","Milow"
"34","Aunque me pidas perdón","Taxi"
"35","Con sólo una mirada","Georgina"
"36","Sweet dreams","Beyoncé"
"37","Gracias","Despistaos"
"38","Miedo a perderte","TeenAngels"
"39","Llévatelo","Antonio Orozco"
"40",NA,NA
