"","Song","Artist"
"1","Dark horse","Katy Perry;Juicy J"
"2","Wings","Birdy"
"3","Happy","Pharrell Williams"
"4","Changes","FAUL;Wad Ad;Pnau"
"5","Trumpets","Jason Derülo"
"6","Demons","Imagine Dragons"
"7","I'm a freak","Enrique Iglesias;Pitbull"
"8","Terriblemente cruel","Leiva"
"9","In your eyes","Inna;Yandel"
"10","Rather be","Clean Bandit;Jess Glynne"
"11","Diez mil maneras","David Bisbal"
"12","Into the blue","Kylie Minogue"
"13","Can't remember to forget you","Shakira;Rihanna"
"14","If I lose myself","OneRepublic;Alesso"
"15","Emocional","Dani Martín"
"16","All of me","John Legend"
"17","Can we dance","The Vamps"
"18","Shot me down","David Guetta;Skylar Grey"
"19","She looks so perfect","5SOS"
"20","Mil pedazos","Juanes"
"21","Dare (La la la)","Shakira"
"22","Team","Lorde"
"23","Temblando","Antonio Orozco"
"24","Air balloon","Lily Allen"
"25","Al norte","Mr. Kilombo"
"26","Too many girls","Wayne Beckford"
"27","Hey brother","Avicii;Dan Tyminski"
"28","One woman army","Porcelain Black"
"29","Sha la la","María Sagana"
"30","We are one (Ole ola)","Pitbull;Claudia Leitte;Jennifer López"
"31","This is the life","Sweet California"
"32","Buena energía","Maldita Nerea"
"33","Neon lovers","Soraya"
"34","Jealous (I ain't with it)","Chromeo"
"35","Human","Christina Perri"
"36","Am I wrong","Nico & Vinz"
"37","Sing","Ed Sheeran"
"38","Megaphone","Xuso Jones"
"39","Young girls","Bruno Mars"
"40","Calling you","Robert Ramírez"
