"","Song","Artist"
"1","Elastic heart","Sia"
"2","Love me like you do","Ellie Goulding"
"3","The nights","Avicii"
"4","Fourfiveseconds","Rihanna;Kanye West;Paul McCartney"
"5","Cheerleader","OMI;Felix Jaehn"
"6","I'm not the only one","Sam Smith"
"7","Outside","Calvin Harris;Ellie Goulding"
"8","Thinking out loud","Ed Sheeran"
"9","Take me to church","Hozier"
"10","Earned it","The Weeknd"
"11","Love me harder","Ariana Grande;The Weeknd"
"12","Un zombie a la intemperie","Alejandro Sanz"
"13","Muévelo","Sofía Reyes;Wisin"
"14","Lips are movin","Meghan Trainor"
"15","I'm an Albatraoz","AronChupa"
"16","G.D.F.R. (Going down for real)","Flo Rida;LooKas;Sage The Gemini"
"17","Uptown funk","Mark Ronson;Bruno Mars"
"18","Fade out lines","The Avener"
"19","Hijos de un mismo Dios","Macaco"
"20","Sugar","Maroon 5"
"21","Pasos de cero","Pablo Alborán"
"22","Hold back the river","James Bay"
"23","Blank space","Taylor Swift"
"24","Heartbeat song","Kelly Clarkson"
"25","La promesa","Melendi"
"26","Hey babe!","Calum"
"27","Bills","LunchMoney Lewis"
"28","Mi nuevo vicio","Paulina Rubio;Morat"
"29","Indigo","Sweet California"
"30","I bet my life","Imagine Dragons"
"31","Saturday I'm in love","Auryn"
"32","Enamorate","Dvicio"
"33","What I did for love","David Guetta;Emeli Sandé"
"34","Night changes","One Direction"
"35","Underdogs","Benjamin"
"36","Eio","Lucy Paradise"
"37","King","Years & Years"
"38","Lo que sobra de mí","Fito & Fitipaldis"
"39","Something big","Shawn Mendes"
"40","Sun goes down","Robin Schulz;Jasmine Thompson"
