"","Song","Artist"
"1","Lush life","Zara Larsson"
"2","Faded","Alan Walker;Iselin Solheim"
"3","Work","Rihanna;Drake"
"4","Catch & release","Matt Simons;Deepend"
"5","Pillowtalk","Zayn Malik"
"6","When we were young","Adele"
"7","Bang my head","David Guetta;Fetty Wap;Sia"
"8","7 Years","Lukas Graham"
"9","Light it up","Major Lazer;Fuse ODG;NYLA"
"10","Love yourself","Justin Bieber"
"11","Stressed out","Twenty One Pilots"
"12","Hymn for the weekend","Coldplay;Beyoncé"
"13","Here","Alessia Cara"
"14","Geometria polisentimental","Fangoria"
"15","Hotline bling","Drake"
"16","Keeping your head up","Birdy"
"17","Cheap thrills","Sia;Sean Paul"
"18","Sax","Fleur East"
"19","Renegades","X Ambassadors"
"20","One call away","Charlie Puth"
"21","I took a pill in Ibiza (Explicit version)","Mike Posner;SeeB"
"22","No","Meghan Trainor"
"23","Fast car","Jonas Blue;Dakota"
"24","Gafas de rosa","Estopa"
"25","Here for you","Kygo;Ella Henderson"
"26","Ex's & Oh's","Elle King"
"27","Lo saben mis zapatos","Pablo López"
"28","Who's loving you","Auryn;Anastacia"
"29","You don't own me","Grace;G-Eazy"
"30","With my hands","Furious Monkey House"
"31","Stitches","Shawn Mendes"
"32","Easy love","Sigala"
"33","Sorry","Justin Bieber"
"34","Me, myself & I","G-Eazy;Bebe Rexha"
"35","Echo","Nelou"
"36","Something in the way you move","Ellie Goulding"
"37","Mira como vuelo","Miss Caffeina"
"38","Adore","Jasmine Thompson"
"39","Hundred miles","YALL;Gabriela Richardson"
"40","The girl is mine","99 Souls;Brandy;Destiny's Child"
