"","Song","Artist"
"1","Timber","Pitbull;Ke$ha"
"2","Wrecking ball","Miley Cyrus"
"3","The monster","Eminem;Rihanna"
"4","Royals","Lorde"
"5","Story of my life","One Direction"
"6","Talk dirty","Jason Derülo;2 Chainz"
"7","Burn","Ellie Goulding"
"8","Counting stars","OneRepublic"
"9","You're nobody 'til somebody loves you","James Arthur"
"10","Llegará","Antonio Orozco"
"11","A prueba de ti","Malú"
"12","Unconditionally","Katy Perry"
"13","Animals","Martin Garrix"
"14","Love me again","John Newman"
"15","Do what u want","Lady GaGa;R. Kelly"
"16","Come with me","Ricky Martin"
"17","Can't hold us","Macklemore & Ryan Lewis;Ray Dalton"
"18","Hand on heart","Olly Murs;Edurne"
"19","You make me","Avicii;Salem Al Fakir"
"20","Hard out here","Lily Allen"
"21","We can't stop","Miley Cyrus"
"22","Hey brother","Avicii;Dan Tyminski"
"23","Vi","Pablo López"
"24","Plastic","Soraya"
"25","Éxtasis","Pablo Alborán"
"26","All night","Icona Pop"
"27","Breathe your fire","Auryn"
"28","Live forever","Marien Baker;Shaun Frank"
"29","Wake me up!","Avicii;Aloe Blacc"
"30","Hecho con tus sueños","Efecto Pasillo;Leire Martínez"
"31","XO","Beyoncé"
"32","Cheating","John Newman"
"33","La la la","Naughty Boy;Sam Smith"
"34","Terriblemente cruel","Leiva"
"35","Of the night","Bastille"
"36","Qué bonita la vida","Dani Martín"
"37","Disaster","Mario Jefferson;JoJo"
"38","La de la mala suerte","Jesse & Joy;Pablo Alborán"
"39","Let her go","Passenger"
"40","True love","P!nk;Lily Allen"
