"","Song","Artist"
"1","Don't phunk with my heart","The Black Eyed Peas"
"2","Días de verano","Amaral"
"3","Zapatillas","El Canto del Loco"
"4","Nada fue un error","Coti;Julieta Venegas;Paulina Rubio"
"5","Lo que tu quieras soy","Antonio Orozco"
"6","La tortura","Shakira;Alejandro Sanz"
"7","Everything burns","Anastacia;Ben Moody"
"8","Para ti sería","Nek"
"9","Ojos de cielo","El Sueño de Morfeo"
"10","Alli estaré","Alea"
"11","Con sólo una sonrisa","Melendi"
"12","Incomplete","Backstreet Boys"
"13","La ciudad perdida","David DeMaría"
"14","Have a nice day","Bon Jovi"
"15","La camisa negra","Juanes"
"16","Boulevard of broken dreams","Green Day"
"17","Hand in my pocket","Alanis Morissette"
"18","Pokito a poko","Chambao"
"19","A la hora de amar","Diego Martín"
"20","Speed of sound","Coldplay"
"21","Volverás","Iguana Tango"
"22","Mario","M-Clan"
"23","Black horse and the cherry tree","KT Tunstall"
"24","All because of you","U2"
"25","No me crees","Efecto Mariposa;Javier Ojeda"
"26","They","Jem"
"27","Welcome to my life","Simple Plan"
"28","Pájaros de Portugal","Joaquín Sabina"
"29","Breathe in","Lucie Silvas"
"30","Si te vienes conmigo","Manolo García"
"31","All the way","Craig David"
"32","Bend & break","Keane"
"33","Feel good inc","Gorillaz"
"34","Mil razones","Melo Bakale"
"35","Todo lo que quieres","Sergio Dalma"
"36","Caminando por la vida","Melendi"
"37","Lo que tengo yo adentro","Pereza"
"38","Te miro","La Musicalité"
"39","Mariacaipirinha","Carlinhos Brown;DJ Dero"
"40","El universo sobre mí","Amaral"
