"","Song","Artist"
"1","Quiero aprender de ti","El Canto del Loco"
"2","Desde cuando","Alejandro Sanz"
"3","Tik tok","Ke$ha"
"4","El run run","Rosario;Estopa"
"5","Meet me halfway","The Black Eyed Peas"
"6","Bad romance","Lady GaGa"
"7","Fight for this love","Cheryl"
"8","Que nadie","Manuel Carrasco;Malú"
"9","Russian roulette","Rihanna"
"10","We weren't born to follow","Bon Jovi"
"11","Diez minutos","Efecto Mariposa"
"12","Antes de que cuente diez","Fito & Fitipaldis"
"13","Ayo technology","Milow"
"14","Cosas que suenan a...","Maldita Nerea"
"15","Estuve a punto de...","Miguel Bosé"
"16","Gypsy (Pop version)","Shakira;Freemasons"
"17","La lluvia","María Villalón"
"18","Mi princesa","David Bisbal"
"19","Cry me out","Pixie Lott"
"20","Fireflies","Owl City"
"21","Como una vela","Melendi"
"22","Release me","Agnes"
"23","Sexy bitch","David Guetta;Akon"
"24","Llévatelo","Antonio Orozco"
"25","Sweet dreams","Beyoncé"
"26","Mensajes del agua","Macaco"
"27","Don't tell me that it's over","Amy MacDonald"
"28","Babacar","Kate Ryan"
"29","Let's get excited","Alesha Dixon"
"30","Doesn't mean anything","Alicia Keys"
"31","Lady Madrid","Pereza"
"32","I got you","Leona Lewis"
"33","Lucky","Jason Mraz;Colbie Caillat"
"34","Undisclosed desires","Muse"
"35","Falling in love","McFly"
"36","Con sólo una mirada","Georgina"
"37","Miedo a perderte","TeenAngels"
"38","Get to you","James Morrison"
"39","I gotta feeling","The Black Eyed Peas"
"40","Looking for paradise","Alejandro Sanz;Alicia Keys"
