"","Song","Artist"
"1","Pan y mantequilla","Efecto Pasillo"
"2","Whistle","Flo Rida"
"3","Call me maybe","Carly Rae Jepsen"
"4","Drive by","Train"
"5","Tanto","Pablo Alborán"
"6","We are young","Fun.;Janelle Monaé"
"7","Don't give up my game","Auryn"
"8","Euphoria","Loreen"
"9","Somebody that I used to know","Gotye;Kimbra"
"10","Chasing the sun","The Wanted"
"11","Payphone","Maroon 5;Wiz Khalifa"
"12","Summer paradise","Simple Plan;Sean Paul"
"13","Wide awake","Katy Perry"
"14","Rayos de sol","Jose de Rico & Henry Méndez"
"15","Blow me (One last kiss)","P!nk"
"16","Última noche en la tierra","La Musicalité"
"17","We are never ever getting back together","Taylor Swift"
"18","Scream","Usher"
"19","Don't wake me up","Chris Brown"
"20","Te voy a esperar","Juan Magán;Belinda"
"21","Balada","Gusttavo Lima"
"22","Se vende","Alejandro Sanz"
"23","Dance again","Jennifer López;Pitbull"
"24","Set fire to the rain","Adele"
"25","Día cero","La Oreja de Van Gogh"
"26","Starships","Nicki Minaj"
"27","Girl on fire","Alicia Keys"
"28","Una sola voz","Macaco"
"29","Everything you didn't do (Spanish version)","Jamie Cullum;Frank T;Nita;Shinoflow"
"30","Tacatá","Tacabro"
"31","Generation","Carlos Jean;Alex Ayora;Dans Swanz;Lucía Scansetti;Sweet Ross"
"32","Candy","Robbie Williams"
"33","What goes around comes around","Dover"
"34","Noche de estrellas","Jose de Rico & Henry Méndez;Jay Santos"
"35","Stronger (What doesn't kill you)","Kelly Clarkson"
"36","Princess of China","Coldplay;Rihanna"
"37","Boys will be boys","Paulina Rubio"
"38","En el mundo genial de las cosas que dices","Maldita Nerea"
"39","Me pones tierno","Rasel;Carlos Baute"
"40","Timebomb","Kylie Minogue"
