"","Song","Artist"
"1","Yo te esperaré","Cali y Dandee"
"2","Te he echado de menos","Pablo Alborán"
"3","Stronger (What doesn't kill you)","Kelly Clarkson"
"4","Boys will be boys","Paulina Rubio"
"5","Wild ones","Flo Rida;Sia"
"6","Somebody that I used to know","Gotye;Kimbra"
"7","She doesn't mind","Sean Paul"
"8","Twilight","Cover Drive"
"9","Someone like you","Adele"
"10","Rayos de sol","Jose de Rico & Henry Méndez"
"11","Breathing","Jason Derülo"
"12","1.000.000","Alexandra Stan;Carlprit"
"13","The one that got away","Katy Perry"
"14","Me quedaré","Estopa"
"15","Mama luba","Serebro"
"16","Sexy and I know it","LMFAO"
"17","International love","Pitbull;Chris Brown"
"18","Buy the Dj a round","Xuso Jones;Flii Stylz"
"19","En el mundo genial de las cosas que dices","Maldita Nerea"
"20","Stereo hearts","Gym Class Heroes;Adam Levine"
"21","Dejarse la piel","Lagarto Amarillo"
"22","Princess of China","Coldplay;Rihanna"
"23","Next to me","Emeli Sandé"
"24","Dance again","Jennifer López;Pitbull"
"25","Call me maybe","Carly Rae Jepsen"
"26","The A Team","Ed Sheeran"
"27","Payphone","Maroon 5;Wiz Khalifa"
"28","Levels","Avicii;Etta James"
"29","Me pones tierno","Rasel;Carlos Baute"
"30","Silenced by the night","Keane"
"31","In your head","Mohombi"
"32","Love is the only way","Macaco"
"33","Addicted to you (Arbadel re-work mix)","Shakira"
"34","Titanium","David Guetta;Sia"
"35","Rara","Georgina"
"36","Tengo tu love","Sie7e"
"37","Fight for life","Carlos Jean;Alex Shaker;Daniel Martín;Lucía Scansetti"
"38","Give me all your luvin'","Madonna;M.I.A.;Nicki Minaj"
"39","Hangover","Taio Cruz;Flo Rida"
"40","Los días contados","Despistaos"
