"","Song","Artist"
"1","Locked out of heaven","Bruno Mars"
"2","Scream & shout","Will.I.Am;Britney Spears"
"3","Try","P!nk"
"4","Hall of fame","The Script;Will.I.Am"
"5","Die young","Ke$ha"
"6","Little talks","Of Monsters and Men"
"7","No importa que llueva","Efecto Pasillo"
"8","Don't you worry child","Swedish House Mafia;John Martin"
"9","El beso","Pablo Alborán"
"10","Feel this moment","Pitbull;Christina Aguilera"
"11","Viven","Rasel;Jadel"
"12","Ho hey","The Lumineers"
"13","I cry","Flo Rida"
"14","Because we can","Bon Jovi"
"15","Heartbreaker","Auryn"
"16","One more night","Maroon 5"
"17","Troublemaker","Olly Murs;Flo Rida"
"18","Lágrimas desordenadas","Melendi"
"19","Stay","Rihanna;Mikky Ekko"
"20","Mi marciana","Alejandro Sanz"
"21","Kiss you","One Direction"
"22","I knew you were trouble","Taylor Swift"
"23","Just one last time","David Guetta;Taped Rai"
"24","Impossible","James Arthur"
"25","Feel so close","Calvin Harris"
"26","Empanados","Estopa"
"27","This kiss","Carly Rae Jepsen"
"28","Otra vez me has sacado a bailar","La Oreja de Van Gogh"
"29","Tu jardín con enanitos","Melendi"
"30","It's time","Imagine Dragons"
"31","Girl on fire","Alicia Keys"
"32","Disparé","Nena Daconte"
"33","Con fuego","Soraya;Aqeelion"
"34","This is love","Will.I.Am;Eva Simons"
"35","Tanto","Pablo Alborán"
"36","Suit & tie","Justin Timberlake;Jay-Z"
"37","Boytoy","Angy"
"38","Diamonds","Rihanna"
"39","Brand new me","Alicia Keys"
"40","Culpable","Lagarto Amarillo"
