"","Song","Artist"
"1","Blinding lights","The Weeknd"
"2","Una foto en blanco y negro","David Otero;Taburete"
"3","Tusa","Karol G;Nicki Minaj"
"4","Dosis","ChocQuibTown;Dvicio;Reik"
"5","Soldadito de hierro","Nil Moliner;Dani Fernández"
"6","Don't start now","Dua Lipa"
"7","+","Aitana;Cali y El Dandee"
"8","Dance monkey","Tones and I"
"9","Morado","J Balvin"
"10","Physical","Dua Lipa"
"11","A dónde vamos","Morat"
"12","Adore you","Harry Styles"
"13","What a man gotta do","Jonas Brothers"
"14","Se iluminaba",NA
"15","Before you go","Lewis Capaldi"
"16","La mentira","Dani Martín"
"17","Robarte el corazón","Ana Guerra;Bombai"
"18","Underdog","Alicia Keys"
"19","Tabú","Ava Max;Pablo Alborán"
"20","Bailemos","Dani Fernández"
"21","Muévelo","Daddy Yankee;Nicky Jam"
"22","Stupid love","Lady GaGa"
"23","Me gusta","Anuel AA;Shakira"
"24","TBT","Manuel Turizo;Rauw Alejandro;Sebastián Yatra"
"25","Ritmo (Bad boys for life)","J Balvin;The Black Eyed Peas"
"26","Como si fueras a morir mañana","Leiva"
"27","Dolerme","Rosalía"
"28","Intentions","Justin Bieber;Quavo"
"29","Si por mí fuera","Beret"
"30","Kiss somebody",NA
"31","Si me dices que sí","Camilo;Farruko;Reik"
"32","Memories","Maroon 5"
"33","Universo","Blas Cantó"
"34","Cuando eramos dos","Sinsinati"
"35","Some say",NA
"36","Torn","Ava Max"
"37","Indeciso","J Balvin;Lalo Ebratt;Reik"
"38","Atrapado","Estopa"
"39","Liar","Camila Cabello"
"40","Yo x ti tú x mí","Ozuna;Rosalía"
