"","Song","Artist"
"1","Bailando por ahí","Juan Magán"
"2","Give me everything","Pitbull;Afrojack;Nayer;Ne-Yo"
"3","Danza Kuduro","Don Omar;Lucenzo"
"4","La niña que llora en tus fiestas","La Oreja de Van Gogh"
"5","Gimme the base (DJ)","Carlos Jean;Mandy Santos"
"6","Last friday night (T.G.I.F)","Katy Perry"
"7","I'm into you","Jennifer López;Lil Wayne"
"8","The lazy song","Bruno Mars"
"9","Rain over me","Pitbull;Marc Anthony"
"10","Moves like Jagger","Maroon 5;Christina Aguilera"
"11","Till the world ends","Britney Spears"
"12","Erase you","André Olà;Heléne"
"13","Party rock anthem","LMFAO;GoonRock;Laurent Bennet"
"14","¿No podíamos ser agua?","Maldita Nerea"
"15","Price tag","Jessie J;B.o.B"
"16","Don't wanna go home","Jason Derülo"
"17","Sweat","Snoop Dogg;David Guetta"
"18","Stand","Lenny Kravitz"
"19","The edge of glory","Lady GaGa"
"20","Best thing I never had","Beyoncé"
"21","Rolling in the deep","Adele"
"22","Bumpy ride","Mohombi"
"23","Where them girls at","David Guetta;Flo Rida;Nicki Minaj"
"24","Dirty dancer","Enrique Iglesias;Lil Wayne;Nayer;Usher"
"25","Get together","Marta Sánchez;Dmol"
"26","Glad you came","The Wanted"
"27","Mi lamento","Dani Martín"
"28","Got 2 luv u","Sean Paul;Alexis Jordan"
"29","I wanna go","Britney Spears"
"30","Fácil","Maldita Nerea"
"31","S&M","Rihanna"
"32","Coconut tree","Mohombi;Nicole Scherzinger"
"33","Just can't get enough","The Black Eyed Peas"
"34","On the floor","Jennifer López;Pitbull"
"35","La luna va y viene","El Pescao"
"36","Hello","Martin Solveig;Dragonette"
"37","Soledad en mí","La Musicalité"
"38","Judas","Lady GaGa"
"39","Amor clandestino","Maná"
"40","Sun is up","Inna;Play & Win"
