"","Song","Artist"
"1","Tabú","Ava Max;Pablo Alborán"
"2","Dance monkey","Tones and I"
"3","Ritmo (Bad boys for life)","J Balvin;The Black Eyed Peas"
"4","Don't start now","Dua Lipa"
"5","Si por mí fuera","Beret"
"6","Memories","Maroon 5"
"7","La mentira","Dani Martín"
"8","Indeciso","J Balvin;Lalo Ebratt;Reik"
"9","Yo x ti tú x mí","Ozuna;Rosalía"
"10","+","Aitana;Cali y El Dandee"
"11","Dosis","ChocQuibTown;Dvicio;Reik"
"12","Only human","Jonas Brothers"
"13","A dónde vamos","Morat"
"14","Tutu","Camilo;Pedro Capó"
"15","Liar","Camila Cabello"
"16","Mala santa","Becky G"
"17","Atrapado","Estopa"
"18","Beautiful people","Ed Sheeran;Khalid"
"19","Me quedo",NA
"20","Torn","Ava Max"
"21","Caída libre","Vanesa Martín"
"22","Nuestro tiempo","Amaral"
"23","Roxanne",NA
"24","South of the border","Ed Sheeran;Camila Cabello"
"25","Mother","Charlie Puth"
"26","Qué bonito es querer","Manuel Carrasco"
"27","Lie","Lukas Graham"
"28","Yummy","Justin Bieber"
"29","Adore you","Harry Styles"
"30","Soldadito de hierro","Nil Moliner;Dani Fernández"
"31","Mama no","Pablo López"
"32","Ride it",NA
"33","Orphans","Coldplay"
"34","Casi","Melendi"
"35","How do you sleep?","Sam Smith"
"36","Circles","Post Malone"
"37","Superpoderes","Leiva"
"38","Piece of your heart","MEDUZA;Goodboys"
"39","Atrévete","Nicky Jam;Sech"
"40","Runaway","Daddy Yankee;Natti Natasha;Sebastián Yatra;Jonas Brothers"
