"","Song","Artist"
"1","Indeciso","J Balvin;Lalo Ebratt;Reik"
"2","Dance monkey","Tones and I"
"3","Only human","Jonas Brothers"
"4","Don't start now","Dua Lipa"
"5","Beautiful people","Ed Sheeran;Khalid"
"6","Tabú","Ava Max;Pablo Alborán"
"7","Yo x ti tú x mí","Ozuna;Rosalía"
"8","Me quedo",NA
"9","So am I","Ava Max"
"10","How do you sleep?","Sam Smith"
"11","Si por mí fuera","Beret"
"12","Superpoderes","Leiva"
"13","Memories","Maroon 5"
"14","Atrévete","Nicky Jam;Sech"
"15","You need to calm down","Taylor Swift"
"16","Old town road","Lil Nas X;Billy Ray Cyrus"
"17","La mentira","Dani Martín"
"18","Liar","Camila Cabello"
"19","Qué bonito es querer","Manuel Carrasco"
"20","Piece of your heart","MEDUZA;Goodboys"
"21","Orphans","Coldplay"
"22","Dosis","ChocQuibTown;Dvicio;Reik"
"23","Circles","Post Malone"
"24","Lie","Lukas Graham"
"25","Someone you loved","Lewis Capaldi;Madism"
"26","Runaway","Daddy Yankee;Natti Natasha;Sebastián Yatra;Jonas Brothers"
"27","Atrapado","Estopa"
"28","Indios y vaqueros","Sinsinati"
"29","Mala santa","Becky G"
"30","Si te vas","Blas Cantó"
"31","A dónde vamos","Morat"
"32","Nuestro tiempo","Amaral"
"33","Señorita","Camila Cabello;Shawn Mendes"
"34","Caída libre","Vanesa Martín"
"35","China","Anuel AA;Daddy Yankee;J Balvin;Karol G;Ozuna"
"36","Mother","Charlie Puth"
"37","Don't call me up","Mabel"
"38","Disparos","Dani Fernández"
"39","Bad guy","Billie Eilish"
"40","Vuela (Beach pop)","Bombai"
