"","Song","Artist"
"1","Tanto","Pablo Alborán"
"2","Set fire to the rain","Adele"
"3","We are never ever getting back together","Taylor Swift"
"4","Te voy a esperar","Juan Magán;Belinda"
"5","Wide awake","Katy Perry"
"6","Se vende","Alejandro Sanz"
"7","Girl on fire","Alicia Keys"
"8","Don't give up my game","Auryn"
"9","Whistle","Flo Rida"
"10","Diamonds","Rihanna"
"11","Lágrimas desordenadas","Melendi"
"12","Noche de estrellas","Jose de Rico & Henry Méndez;Jay Santos"
"13","Call me maybe","Carly Rae Jepsen"
"14","Candy","Robbie Williams"
"15","Live while we're young","One Direction"
"16","Pan y mantequilla","Efecto Pasillo"
"17","Drive by","Train"
"18","Don't wake me up","Chris Brown"
"19","Don't stop the party","Pitbull;TJR"
"20","We are young","Fun.;Janelle Monaé"
"21","Locked out of heaven","Bruno Mars"
"22","Celebrating life","Xuso Jones"
"23","Finally found you","Enrique Iglesias;Sammy Adams"
"24","This is love","Will.I.Am;Eva Simons"
"25","One more night","Maroon 5"
"26","My heart is refusing me","Loreen"
"27","Blow me (One last kiss)","P!nk"
"28","Somebody that I used to know","Gotye;Kimbra"
"29","Chasing the sun","The Wanted"
"30","Celebrate","Mika;Pharrell Williams"
"31","Una sola voz","Macaco"
"32","Die young","Ke$ha"
"33","Culpable","Lagarto Amarillo"
"34","Scream","Usher"
"35","Hall of fame","The Script;Will.I.Am"
"36","Balada","Gusttavo Lima"
"37","Summer paradise","Simple Plan;Sean Paul"
"38","Última noche en la tierra","La Musicalité"
"39","Starships","Nicki Minaj"
"40","En el mundo genial de las cosas que dices","Maldita Nerea"
