"","Song","Artist"
"1","On the floor","Jennifer López;Pitbull"
"2","Mr. Saxobeat","Alexandra Stan"
"3","S&M","Rihanna"
"4","Price tag","Jessie J;B.o.B"
"5","Judas","Lady GaGa"
"6","Lead the way","Carlos Jean;Electric Nana"
"7","Just can't get enough","The Black Eyed Peas"
"8","Till the world ends","Britney Spears"
"9","Fácil","Maldita Nerea"
"10","Bumpy ride","Mohombi"
"11","Solamente tú","Pablo Alborán"
"12","Give me everything","Pitbull;Afrojack;Nayer;Ne-Yo"
"13","Cuatro elementos","La Musicalité;El Sueño de Morfeo"
"14","Firework","Katy Perry"
"15","Rabiosa","Shakira;El Cata"
"16","Grenade","Bruno Mars"
"17","Lluvia al corazón","Maná"
"18","Party rock anthem","LMFAO;GoonRock;Laurent Bennet"
"19","Lovelife","Kate Ryan"
"20","Blanco y negro","Malú"
"21","Where them girls at","David Guetta;Flo Rida;Nicki Minaj"
"22","Canción de amor caducada","Melendi"
"23","More","Usher;Jimmy Joker;RedOne"
"24","The time is now","Virginia Labuat"
"25","Tonight (I'm lovin' you)","Enrique Iglesias;DJ Frank E;Ludacris"
"26","Lady Gaga","Zenttric"
"27","Born this way","Lady GaGa"
"28","Tú y yo","Ragdog"
"29","Don't wanna go home","Jason Derülo"
"30","Quiero","Pignoise"
"31","Sun is up","Inna;Play & Win"
"32","Siempre","La Musicalité"
"33","Higher","Taio Cruz;Kylie Minogue"
"34","So far gone","James Blunt"
"35","Buscando el sol","El Pescao"
"36","What a feeling","Alex Gaudino;Kelly Rowland"
"37","Tip toeing","The Monomes"
"38","Who's that chick?","David Guetta;Rihanna"
"39","Mi lamento","Dani Martín"
"40","Quiero aire","Revólver"
