"","Song","Artist"
"1","These days","Rudimental;Dan Caplen;Jess Glynne;Macklemore"
"2","Never be the same","Camila Cabello"
"3","Lo malo","Aitana Ocaña;Ana Guerra"
"4","Friends","Anne-Marie;marshmello"
"5","La cintura","Álvaro Soler"
"6","1, 2, 3","Sofía Reyes;De la Ghetto;Jason Derülo"
"7","Spinning over you","REYKO"
"8","El arrepentido","Melendi;Carlos Vives"
"9","One kiss","Calvin Harris;Dua Lipa"
"10","Prometo","Pablo Alborán"
"11","In my blood","Shawn Mendes"
"12","Dieciocho","Dani Martín"
"13","Flames","David Guetta;Sia"
"14","X","Nicky Jam;J Balvin"
"15","A partir de hoy","David Bisbal;Sebastián Yatra"
"16","Mad love","Sean Paul;Becky G;David Guetta"
"17","Idgaf","Dua Lipa"
"18","Familiar","J Balvin;Liam Payne"
"19","Él no soy yo","Blas Cantó"
"20","Wolves","Selena Gomez;marshmello"
"21","Leave a light on","Tom Walker"
"22","For you","Liam Payne;Rita Ora"
"23","I miss you","Clean Bandit;Julia Michaels"
"24","Meant to be","Bebe Rexha;Florida Georgia Line"
"25","The middle","Maren Morris;Zedd;Grey"
"26","El préstamo","Maluma"
"27","No excuses","Meghan Trainor"
"28","Échame la culpa","Luis Fonsi;Demi Lovato"
"29","Trust fund baby","Why Don't We"
"30","All falls down","Alan Walker;Digital Farm Animals;Noah Cyrus"
"31","Perfect duet","Ed Sheeran;Beyoncé"
"32","PDA","Scott Helman"
"33","Besos en guerra","Morat;Juanes"
"34","Salvajes irracionales","Efecto Pasillo"
"35","Dusk till dawn","Zayn Malik;Sia"
"36","Belerofón","Taburete"
"37","Déjate llevar","Juan Magán;B-Case;Belinda;Manuel Turizo;Snova"
"38","Corazón","Maluma;Nego do Borel"
"39","El patio","Pablo López"
"40","How long","Charlie Puth"
