"","Song","Artist"
"1","Shape of you","Ed Sheeran"
"2","Rockabye","Clean Bandit;Anne-Marie;Sean Paul"
"3","Human","Rag'n'Bone Man"
"4","Chantaje","Shakira;Maluma"
"5","Don't wanna know","Maroon 5;Kendrick Lamar"
"6","Just hold on","Louis Tomlinson;Steve Aoki"
"7","Reggaetón lento (Bailemos)","CNCO"
"8","La lluvia en los zapatos","Leiva"
"9","Castle on the hill","Ed Sheeran"
"10","Despacito","Luis Fonsi;Daddy Yankee"
"11","Sexual",NA
"12","Shed a light","David Guetta;Robin Schulz;Cheat Codes"
"13","I don't wanna live forever","Zayn Malik;Taylor Swift"
"14","24k magic","Bruno Mars"
"15","Don't you know","Kungs;Jamie N Commons"
"16","Hey baby","Diplo;Dimitri Vegas & Like Mike;Deb's Daughter"
"17","I feel it coming","The Weeknd;Daft Punk"
"18","By your side","Jonas Blue;Raye"
"19","Cuando no me ves","Love of Lesbian"
"20","Not easy","Alex da Kid;Elle King;Wiz Khalifa;X Ambassadors"
"21","Safari","J Balvin;BIA;Pharrell Williams;Sky Rompiendo"
"22","París","Dani Martín"
"23","Good life","Sweet California"
"24","Ácido","Miss Caffeina"
"25","On hold","The xx"
"26","Dama y vagabundo","Bromas Aparte;Ana Mena"
"27","Starboy","The Weeknd;Daft Punk"
"28","I got you","Bebe Rexha"
"29","Blow your mind (Mwah)","Dua Lipa"
"30","Espectacular","Fangoria"
"31","Lost on you","LP"
"32","Tambores de guerra","Manuel Carrasco"
"33","You're not there","Lukas Graham"
"34","Do it for your lover","Manel Navarro"
"35","Antes que no","David Bisbal"
"36","The greatest","Sia;Kendrick Lamar"
"37","Tuesday","Burak Yeter;Danelle Sandoval"
"38","Heathens","Twenty One Pilots"
"39","Let me love you","DJ Snake;Justin Bieber"
"40","True disaster","Tove Lo"
