"","Song","Artist"
"1","Euphoria","Loreen"
"2","Call me maybe","Carly Rae Jepsen"
"3","Payphone","Maroon 5;Wiz Khalifa"
"4","Dance again","Jennifer López;Pitbull"
"5","No hay 2 sin 3 (Gol)","Cali y Dandee;David Bisbal"
"6","Somebody that I used to know","Gotye;Kimbra"
"7","Rayos de sol","Jose de Rico & Henry Méndez"
"8","Starships","Nicki Minaj"
"9","We are young","Fun.;Janelle Monaé"
"10","Tacatá","Tacabro"
"11","Boys will be boys","Paulina Rubio"
"12","Te he echado de menos","Pablo Alborán"
"13","Stronger (What doesn't kill you)","Kelly Clarkson"
"14","Me pones tierno","Rasel;Carlos Baute"
"15","Drive by","Train"
"16","En el mundo genial de las cosas que dices","Maldita Nerea"
"17","Timebomb","Kylie Minogue"
"18","Se vuelve loca","Juan Magán"
"19","Pan y mantequilla","Efecto Pasillo"
"20","Princess of China","Coldplay;Rihanna"
"21","No me compares","Alejandro Sanz"
"22","Balada","Gusttavo Lima"
"23","Don't give up my game","Auryn"
"24","Addicted to you (Arbadel re-work mix)","Shakira"
"25","She doesn't mind","Sean Paul"
"26","Love is the only way","Macaco"
"27","Generation","Carlos Jean;Alex Ayora;Dans Swanz;Lucía Scansetti;Sweet Ross"
"28","Scream","Usher"
"29","Yo te esperaré","Cali y Dandee"
"30","Lady (Spanglish version)","Crossfire"
"31","Me quedaré","Estopa"
"32","Wild ones","Flo Rida;Sia"
"33","Última noche en la tierra","La Musicalité"
"34","Real woman","Chila Lynn"
"35","1.000.000","Alexandra Stan;Carlprit"
"36","Someone like you","Adele"
"37","Breathing","Jason Derülo"
"38","The one that got away","Katy Perry"
"39","Dejarse la piel","Lagarto Amarillo"
"40","International love","Pitbull;Chris Brown"
