"","Song","Artist"
"1","Sorry","Justin Bieber"
"2","El mismo sol (Under the same sun) (Spanglish version)","Álvaro Soler;Jennifer López"
"3","Ginza","J Balvin"
"4","Adventure of a lifetime","Coldplay"
"5","Hello","Adele"
"6","Locked away","R. City;Adam Levine"
"7","On my mind","Ellie Goulding"
"8","How deep is your love","Calvin Harris;Disciples"
"9","Tu enemigo","Pablo López;Juanes"
"10","Electric","Auryn"
"11","Reality","Lost Frequencies;Janieck Devy"
"12","What do you mean?","Justin Bieber"
"13","Runnin' (Lose it all)","Naughty Boy;Arrow Benjamin;Beyoncé"
"14","Easy love","Sigala"
"15","Quiero","Malú"
"16","Hundred miles","YALL;Gabriela Richardson"
"17","Perfect","One Direction"
"18","Old school","Abraham Mateo"
"19","Alive","Sia"
"20","La escalera","Pablo Alborán"
"21","Down with ya","Sweet California;Madcon"
"22","Hotline bling","Drake"
"23","Can't feel my face","The Weeknd"
"24","Don't be so hard on yourself","Jess Glynne"
"25","Stitches","Shawn Mendes"
"26","Capitán Tapón","Alejandro Sanz"
"27","Si te vienes a bailar","Efecto Pasillo"
"28","Sugar","Robin Schulz;Francesco Yates"
"29","The hills","The Weeknd"
"30","Hula hoop","OMI"
"31","Stole the show","Kygo;Parson James"
"32","Marvin Gaye","Charlie Puth;Meghan Trainor"
"33","Ex's & Oh's","Elle King"
"34","The one I want","Electric Nana"
"35","Vuelve","Juan Magán;DCS;Paulina Rubio"
"36","Photograph","Ed Sheeran"
"37","Ain't nobody (Loves me better)","Felix Jaehn;Jasmine Thompson"
"38","Don't worry","Madcon;Ray Dalton"
"39","Shut up and dance","Walk the Moon"
"40","Lean on","Major Lazer;DJ Snake;MØ"
