"","Song","Artist"
"1","Tusa","Karol G;Nicki Minaj"
"2","Dance monkey","Tones and I"
"3","+","Aitana;Cali y El Dandee"
"4","Una foto en blanco y negro","David Otero"
"5","A dónde vamos","Morat"
"6","Blinding lights","The Weeknd"
"7","La mentira","Dani Martín"
"8","Dosis","ChocQuibTown;Dvicio;Reik"
"9","Soldadito de hierro","Nil Moliner;Dani Fernández"
"10","Don't start now","Dua Lipa"
"11","Tabú","Ava Max;Pablo Alborán"
"12","Me gusta","Anuel AA;Shakira"
"13","Ritmo (Bad boys for life)","J Balvin;The Black Eyed Peas"
"14","Morado","J Balvin"
"15","Adore you","Harry Styles"
"16","Si por mí fuera","Beret"
"17","What a man gotta do","Jonas Brothers"
"18","Universo","Blas Cantó"
"19","Torn","Ava Max"
"20","Memories","Maroon 5"
"21","Robarte el corazón","Ana Guerra;Bombai"
"22","Underdog","Alicia Keys"
"23","Before you go","Lewis Capaldi"
"24","Liar","Camila Cabello"
"25","Bailemos","Dani Fernández"
"26","Yummy","Justin Bieber"
"27","Muévelo","Daddy Yankee;Nicky Jam"
"28","Indeciso","J Balvin;Lalo Ebratt;Reik"
"29","TBT","Manuel Turizo;Rauw Alejandro;Sebastián Yatra"
"30","Roxanne",NA
"31","Como si fueras a morir mañana","Leiva"
"32","Se iluminaba",NA
"33","Beautiful people","Ed Sheeran;Khalid"
"34","Yo x ti tú x mí","Ozuna;Rosalía"
"35","Kiss somebody",NA
"36","Atrapado","Estopa"
"37","Casi","Melendi"
"38","Only human","Jonas Brothers"
"39","Cuando eramos dos","Sinsinati"
"40","Ride it","Regard"
