"","Song","Artist"
"1","Presiento","Aitana;Morat"
"2","I don't care","Ed Sheeran;Justin Bieber"
"3","Calma (Alicia remix)","Alicia Keys;Farruko;Pedro Capó"
"4","Sucker","Jonas Brothers"
"5","Fading","Alle Farben;ILIRA"
"6","Mi persona favorita","Alejandro Sanz;Camila Cabello"
"7","ME!","Taylor Swift;Brendon Urie"
"8","Dancing with a stranger","Sam Smith;Normani"
"9","Don't call me up","Mabel"
"10","High hopes","Panic! at the Disco"
"11","Nada sale mal","Aitana"
"12","Te echo de menos","Beret"
"13","Vuela (Beach pop)","Bombai"
"14","Walk me home","P!nk"
"15","Con calma","Daddy Yankee;Snow"
"16","Someone you loved","Lewis Capaldi;Madism"
"17","Con altura","El Guincho;J Balvin;Rosalía"
"18","Say my name","Bebe Rexha;David Guetta;J Balvin"
"19","Disparos","Dani Fernández"
"20","Mares igual que tú","Amaral"
"21","Soldi","Mahmood;Maikel Delacalle"
"22","Contando lunares","Don Patricio;Cruz Cafuné"
"23","Bad guy","Billie Eilish"
"24","R.I.P.","Anitta;Rita Ora;Sofía Reyes"
"25","Don't worry bout me","Zara Larsson"
"26","Pa' dentro","Ana Mena;Sean Kingston"
"27","De tus ojos","Vanesa Martín;Carlos Jean"
"28","Never really over","Katy Perry"
"29","HP","Maluma"
"30","5 sentidos","Dvicio;Taburete"
"31","De la Tierra hasta Marte","Alfred García"
"32","Qué bonito es querer","Manuel Carrasco"
"33","Late","Pol Granch"
"34","Swing","Danny Ocean"
"35","Índios y vaqueros","Sinsinati"
"36","Sweet but psycho","Ava Max"
"37","Obsessed","Dynoro;Ina Wroldsen"
"38","Get to know me","Anitta;Alesso"
"39","Love someone","Lukas Graham"
"40","No te preocupes por mí","Leiva"
