"","Song","Artist"
"1","Feel this moment","Pitbull;Christina Aguilera"
"2","Try","P!nk"
"3","Hall of fame","The Script;Will.I.Am"
"4","No importa que llueva","Efecto Pasillo"
"5","Scream & shout","Will.I.Am;Britney Spears"
"6","Ho hey","The Lumineers"
"7","El beso","Pablo Alborán"
"8","Viven","Rasel;Jadel"
"9","Locked out of heaven","Bruno Mars"
"10","Heartbreaker","Auryn"
"11","Stay","Rihanna;Mikky Ekko"
"12","Because we can","Bon Jovi"
"13","Tu jardín con enanitos","Melendi"
"14","Little talks","Of Monsters and Men"
"15","Don't you worry child","Swedish House Mafia;John Martin"
"16","Kiss you","One Direction"
"17","I knew you were trouble","Taylor Swift"
"18","Vuelvo a verte","Malú;Pablo Alborán"
"19","Impossible","James Arthur"
"20","It's time","Imagine Dragons"
"21","Otra vez me has sacado a bailar","La Oreja de Van Gogh"
"22","Die young","Ke$ha"
"23","I cry","Flo Rida"
"24","Con fuego","Soraya;Aqeelion"
"25","Troublemaker","Olly Murs;Flo Rida"
"26","Turn around","Conor Maynard;Ne-Yo"
"27","When I was your man","Bruno Mars"
"28","This kiss","Carly Rae Jepsen"
"29","Boytoy","Angy"
"30","Disparé","Nena Daconte"
"31","Mi marciana","Alejandro Sanz"
"32","Brand new me","Alicia Keys"
"33","Just one last time","David Guetta;Taped Rai"
"34","One more night","Maroon 5"
"35","Prisoners","Carlos Jean;DJ Nano;Antonio Ferrara"
"36","Sol","Macaco"
"37","Mirrors","Justin Timberlake"
"38","Unbreakable","Marien Baker;Shaun Frank"
"39","Feel so close","Calvin Harris"
"40","Lágrimas desordenadas","Melendi"
