"","Song","Artist"
"1","Lean on","Major Lazer;DJ Snake;MØ"
"2","La gozadera","Gente de Zona;Marc Anthony"
"3","I don't like it, I love it","Flo Rida;Robin Thicke;Verdine White"
"4","Don't worry","Madcon;Ray Dalton"
"5","Stole the show","Kygo;Parson James"
"6","Goodbye","Feder;Lyse"
"7","Shut up and dance","Walk the Moon"
"8","Vuelve","Juan Magán;DCS;Paulina Rubio"
"9","Come and get it","John Newman"
"10","Cheerleader","OMI;Felix Jaehn"
"11","Hey mama (Extended mix)","David Guetta;Afrojack;Bebe Rexha;Nicki Minaj"
"12","Like I can","Sam Smith"
"13","I really like you","Carly Rae Jepsen"
"14","Cuando me siento bien","Efecto Pasillo"
"15","Waiting for love","Avicii"
"16","Wonder woman","Sweet California;Jake Miller"
"17","Hoy será","Antonio Orozco"
"18","Are you with me","Lost Frequencies"
"19","No pide tanto, idiota","Maldita Nerea"
"20","A que no me dejas","Alejandro Sanz"
"21","Ain't nobody (Loves me better)","Felix Jaehn;Jasmine Thompson"
"22","Headlights","Robin Schulz;Ilsey"
"23","Recuérdame (Versión 2015)","Pablo Alborán"
"24","Back it up (Spanish version)","Prince Royce;Jennifer López;Pitbull"
"25","Pastillas para dormir","Estopa"
"26","Talk about you","Mika"
"27","Reality","Lost Frequencies;Janieck Devy"
"28","Want to want me","Jason Derülo"
"29","El mismo sol (Under the same sun) (Spanglish version)","Álvaro Soler;Jennifer López"
"30","Five more hours","Chris Brown;Deorro"
"31","Photograph","Ed Sheeran"
"32","Can't feel my face","The Weeknd"
"33","Hold my hand","Jess Glynne"
"34","Marvin Gaye","Charlie Puth;Meghan Trainor"
"35","Garabatos","Fito & Fitipaldis"
"36","Heroes","Måns Zelmerlöw"
"37","Cadillac","Mario Jefferson"
"38","Supergirl","Anna Naklab;Alle Farben;Younotus"
"39","King","Years & Years"
"40","Good to be bad (Miedo a querer)","Paula Rojo"
