"","Song","Artist"
"1","Mi persona favorita","Alejandro Sanz;Camila Cabello"
"2","Sucker","Jonas Brothers"
"3","I don't care","Ed Sheeran;Justin Bieber"
"4","Calma (Alicia remix)","Alicia Keys;Farruko;Pedro Capó"
"5","High hopes","Panic! at the Disco"
"6","Presiento","Aitana;Morat"
"7","Con altura","El Guincho;J Balvin;Rosalía"
"8","ME!","Taylor Swift;Brendon Urie"
"9","Say my name","Bebe Rexha;David Guetta;J Balvin"
"10","Don't call me up","Mabel"
"11","R.I.P.","Anitta;Rita Ora;Sofía Reyes"
"12","Dancing with a stranger","Sam Smith;Normani"
"13","Walk me home","P!nk"
"14","Te echo de menos","Beret"
"15","Fading","Alle Farben;ILIRA"
"16","5 sentidos","Dvicio;Taburete"
"17","HP","Maluma"
"18","Swing","Danny Ocean"
"19","Sweet but psycho","Ava Max"
"20","Vuela (Beach pop)","Bombai"
"21","Speechless","Robin Schulz;Erika Sirola"
"22","Mares igual que tú","Amaral"
"23","Someone you loved","Lewis Capaldi;Madism"
"24","Pa' dentro","Ana Mena;Sean Kingston"
"25","Disparos","Dani Fernández"
"26","Obsessed","Dynoro;Ina Wroldsen"
"27","Nada sale mal","Aitana"
"28","Soldi","Mahmood;Maikel Delacalle"
"29","No te preocupes por mí","Leiva"
"30","De tus ojos","Vanesa Martín;Carlos Jean"
"31","Don't worry bout me","Zara Larsson"
"32","Contando lunares","Don Patricio;Cruz Cafuné"
"33","Merlí","Miss Caffeina"
"34","Bailo la pena","Macaco"
"35","De la Tierra hasta Marte","Alfred García"
"36","Love someone","Lukas Graham"
"37","Late","Pol Granch"
"38","Mujer bruja","Mala Rodríguez;Lola Índigo"
"39","Índios y vaqueros","Sinsinati"
"40","Nothing breaks like a heart","Mark Ronson;Miley Cyrus"
