"","Song","Artist"
"1","Tonight (I'm lovin' you)","Enrique Iglesias;DJ Frank E;Ludacris"
"2","Who's that chick?","David Guetta;Rihanna"
"3","Tú mirada me hace grande","Maldita Nerea"
"4","Hold my hand","Michael Jackson;Akon"
"5","The time (Dirty bit)","The Black Eyed Peas"
"6","Blanco y negro","Malú"
"7","Firework","Katy Perry"
"8","Love the way you lie","Eminem;Rihanna"
"9","Mira la vida","Dani Martín"
"10","Sale el sol","Shakira"
"11","Only girl (In the world)","Rihanna"
"12","Cuatro elementos","La Musicalité;El Sueño de Morfeo"
"13","Hold it against me","Britney Spears"
"14","Barbie de extrarradio","Melendi"
"15","Born this way","Lady GaGa"
"16","Grenade","Bruno Mars"
"17","Buscando el sol","El Pescao"
"18","Higher","Taio Cruz;Kylie Minogue"
"19","Barbra Streisand","Duck Sauce"
"20","Turn around (5, 4, 3, 2, 1)","Flo Rida"
"21","Lo mejor de mi vida eres tú","Ricky Martin;Natalia Jiménez"
"22","We r who we r","Ke$ha"
"23","Lo que no ves","POL 3.14"
"24","Y mírame","Despistaos;Jorge Ruiz"
"25","Cry cry","Oceana"
"26","Puerto presente","Macaco;Fito Cabrales"
"27","More","Usher;Jimmy Joker;RedOne"
"28","Lead the way","Carlos Jean;Electric Nana"
"29","View","The Monomes"
"30","Loca","Shakira;El Cata"
"31","Stay the night","James Blunt"
"32","Perdida","Nena Daconte"
"33","Just the way you are","Bruno Mars"
"34","Dynamite","Taio Cruz"
"35","Lola soledad","Alejandro Sanz"
"36","Mr. Saxobeat","Alexandra Stan"
"37","Me acordé de ti","Fito & Fitipaldis"
"38","Club can't handle me","Flo Rida;David Guetta"
"39","Get outta my way","Kylie Minogue"
"40","The flood","Take That"
